nodeID,Y_BSsum,X3_Hyb,X2_Err,X1_ILS
1,963,0.5,0.5,1
2,4,0.5,0.5,11
3,801,4,27,4
4,849,4,62,100
5,785,10,12,41
6,960,17,27,100
7,551,12,0,43
8,700,8,74,19
9,820,7,76,49
10,997,15,85,100
11,1000,45,62,100
12,1000,47,100,100
13,168,8,0.5,36
14,1000,51,88,81
15,1000,50,85,100
16,1000,63,100,100
17,1000,86,88,93
18,1000,103,85,68
19,780,12,3,64
20,1000,99,88,46
21,786,21,12,40
22,690,12,26,38
23,469,15,0,37
24,1000,87,62,37
25,997,68,65,38
26,981,60,38,34
27,642,27,3,40
28,564,34,0.5,23
29,713,22,12,30
30,990,76,74,50
31,987,74,88,23
32,995,70,88,16
33,974,65,39,18
34,660,44,0.5,23
35,595,34,0.5,61
36,489,25,23,35
37,311,16,24,46
38,739,26,12,46
39,260,35,0.5,44
40,563,25,15,100
41,782,34,0.5,34
42,774,27,23,100
43,558,14,0.5,52
44,708,14,12,100
45,913,18,41,78
46,756,10,12,91
47,287,8,0.5,33
48,123,6,0.5,36
49,789,5,35,84
50,993,37,50,100
51,700,27,0.5,38
52,98,16,0.5,22
53,46,11,0.5,31
54,1,14,0.5,27
55,160,10,0.5,22
56,385,11,0.5,47
57,658,3,12,39
58,104,8,0.5,54
59,300,5,0.5,11
60,391,3,0.5,43
61,291,3,0.5,45
62,380,3,12,60
63,120,8,0.5,31